gene_name	Dex FPKM	Untreated FPKM	Ln[Fold Change]	stat	P-Value	padj	Locus
G0S2	0.62	4.15	2.75	-3.38	7.4E-04	0.034	chr1:209848669-209849735
VGLL3	70.61	29.39	-1.26	3.38	7.3E-04	0.034	chr3:86987122-87040257
ING2	22.08	8.64	-1.35	3.37	7.6E-04	0.035	chr4:184426219-184432249
VEGFA	12.99	29.77	1.20	-3.37	7.6E-04	0.035	chr6:43737945-43754223
TM4SF1	33.88	15.70	-1.11	3.35	7.9E-04	0.036	chr3:149086804-149095568
DUSP5	10.66	4.29	-1.31	3.35	8.2E-04	0.037	chr10:112257624-112271302
FADS3	61.17	29.54	-1.05	3.32	9.1E-04	0.041	chr11:61640997-61659006
CTGF	337.57	129.42	-1.38	3.31	9.3E-04	0.042	chr6:132269316-132272518
FAM46A	2.33	5.43	1.22	-3.31	9.5E-04	0.043	chr6:82455446-82462428
RWDD4	15.63	7.08	-1.14	3.30	9.6E-04	0.043	chr4:184560788-184580331
SEMA3A	2.81	6.36	1.18	-3.30	9.7E-04	0.043	chr7:83587658-83824217
JUN	28.75	62.24	1.11	-3.29	9.8E-04	0.044	chr1:59246462-59249785
SAMD12	0.18	0.78	2.09	-3.29	9.8E-04	0.044	chr8:119201694-119738306
KLHDC5	8.93	4.27	-1.06	3.29	1.0E-03	0.045	chr12:27933186-27955973
STK17B	15.31	7.27	-1.07	3.29	1.0E-03	0.045	chr2:196998306-197036336
CLIC2	3.60	8.81	1.29	-3.28	1.0E-03	0.045	chrX:154505499-154563986
REV3L	42.43	19.34	-1.13	3.28	1.0E-03	0.045	chr6:111620233-111804414
EBF1	9.67	4.56	-1.09	3.27	1.1E-03	0.047	chr5:158122922-158526788
SOX9	3.94	9.18	1.22	-3.27	1.1E-03	0.047	chr17:70117160-70122560
APBB2	15.37	7.24	-1.09	3.26	1.1E-03	0.048	chr4:40812043-41216635
HSD11B1	34.04	13.85	-1.30	3.26	1.1E-03	0.048	chr1:209859524-209908295
AXIN2	6.70	2.85	-1.23	3.26	1.1E-03	0.048	chr17:63524682-63557740
TXNRD1	388.43	135.73	-1.52	3.26	1.1E-03	0.048	chr12:104609558-104744062
GRAMD4	3.75	8.54	1.19	-3.26	1.1E-03	0.049	chr22:47022657-47075688
ABCA6	22.25	10.93	-1.03	3.25	1.2E-03	0.049	chr17:67074846-67138015
